rank,product_name,product_type,vendor,price_usd,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,product_age_days,derived_niche,preliminary_risk_flag,funnel_economics_flag,performance_data_completeness,monetization_score,conversion_score,promotion_score,maturity_score,confidence_score,investigation_score,phase2_score,evidence_level,why_candidate,main_concern,effective_commission_pct,est_front_end_commission_usd,net_to_price_ratio,economic_attractiveness_band,identical_listing_cluster_size
11,Earn 60% Commission Promoting CircO2 Nitric Oxide Booster,Supplements - health,soundview,137.35,60.00,UNKNOWN,86.88,8.00,6.72,Promote now,924,health-supplement,HIGH,NORMAL,5/5 (100%),27.84,17,14.0,10.0,10.0,7.0,85.84,EVIDENCE_RICH,$86.88 net/sale; 8% cart conversion; open promotion; published performance data; 2.5y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,82.41,0.633,HIGH,1
12,Fearless Phone Fanatic (For Cold Calling),Downloads,dezatell,63.77,UNKNOWN,30.00,21.73,37.00,8.22,Promote now,452,other,LOW,NORMAL,5/5 (100%),22.45,22,14.0,10.0,10.0,7.0,85.45,EVIDENCE_RICH,$21.73 net/sale; 37% cart conversion; open promotion; published performance data; 1.2y track record,none material at this stage,47.04,30.0,0.341,HIGH,1
13,Promote HydroLean XT Gold Now!,Supplements - health,zenmavibe,270.01,70.00,UNKNOWN,87.17,9.00,5.56,Promote now,703,weight-loss,HIGH,NORMAL,5/5 (100%),25.86,18.5,14.0,10.0,10.0,7.0,85.36,EVIDENCE_RICH,$87.17 net/sale; 9% cart conversion; low 5.56% cancellation; open promotion; published performance data; 1.9y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,70.0,189.01,0.323,HIGH,1
14,Home Doctor – BRAND NEW!,Book (printed),homedoctor,49.65,75.00,UNKNOWN,26.83,12.00,2.81,Promote now,1894,other,LOW,NORMAL,5/5 (100%),23.26,23,14.0,8.0,10.0,7.0,85.26,EVIDENCE_RICH,$26.83 net/sale; 12% cart conversion; low 2.81% cancellation; open promotion; published performance data; 5.2y track record,none material at this stage,75.0,37.24,0.54,HIGH,1
15,Goliath XL 10,Supplements - health,KoalaAdvertising,156.47,65.00,UNKNOWN,122.11,7.00,8.15,Promote now,577,health-supplement,HIGH,NORMAL,5/5 (100%),27.19,17,14.0,10.0,10.0,7.0,85.19,EVIDENCE_RICH,$122.11 net/sale; 7% cart conversion; open promotion; published performance data; 1.6y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,101.71,0.78,HIGH,1
16,Earn 60% Commission Promoting Advanced Mitochondrial Formula,Supplements - health,soundview,190.10,60.00,UNKNOWN,116.19,8.00,8.09,Promote now,671,health-supplement,HIGH,NORMAL,5/5 (100%),26.99,17,14.0,10.0,10.0,7.0,84.99,EVIDENCE_RICH,$116.19 net/sale; 8% cart conversion; open promotion; published performance data; 1.8y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,114.06,0.611,HIGH,1
17,Earn 60% Commission Promoting Advanced Amino Formula,Supplements - health,soundview,124.52,60.00,UNKNOWN,70.25,7.00,6.66,Promote now,1361,health-supplement,HIGH,NORMAL,5/5 (100%),27.01,18.5,14.0,8.0,10.0,7.0,84.51,EVIDENCE_RICH,$70.25 net/sale; 7% cart conversion; low 6.66% cancellation; open promotion; published performance data; 3.7y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,74.71,0.564,HIGH,1
18,Promote NeuroPrime Now!,Supplements - health,zenmavibe,287.22,60.00,UNKNOWN,79.48,8.00,5.55,Promote now,706,health-supplement,HIGH,NORMAL,5/5 (100%),25.49,18.5,14.0,10.0,9.0,7.0,83.99,EVIDENCE_RICH,$79.48 net/sale; 8% cart conversion; low 5.55% cancellation; open promotion; published performance data; 1.9y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,172.33,0.277,HIGH,1
19,Scorpio Scalper,Software,altrasoftware,115.50,65.00,UNKNOWN,61.57,7.00,5.92,Promote now,183,ai-software,HIGH,NORMAL,5/5 (100%),26.49,18.5,14.0,9.0,10.0,6.0,83.99,EVIDENCE_RICH,$61.57 net/sale; 7% cart conversion; low 5.92% cancellation; open promotion; published performance data,HIGH preliminary risk: financial-trading promises,65.0,75.08,0.533,HIGH,1
20,Idrotherapy *GET PAID ON REBILLS EACH MONTH*,Deliverable,koshea76,119.98,75.00,UNKNOWN,97.20,2.00,1.97,Promote now,374,health-supplement,MEDIUM,NORMAL,5/5 (100%),28.28,14,14.0,10.0,10.0,7.0,83.28,EVIDENCE_RICH,$97.20 net/sale; 2% cart conversion; low 1.97% cancellation; open promotion; published performance data; 1.0y track record,weak 2% cart conversion,75.0,89.98,0.81,HIGH,1
21,iGenics - Hot New Offer in the Vision Niche!(Text and Video),Supplements - health,igenics,180.61,65.00,UNKNOWN,121.35,10.00,9.37,Promote now,1481,health-supplement,HIGH,NORMAL,5/5 (100%),27.16,17,14.0,8.0,10.0,7.0,83.16,EVIDENCE_RICH,$121.35 net/sale; 10% cart conversion; open promotion; published performance data; 4.1y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,117.4,0.672,HIGH,1
22,Help Others Overcome Their Acid Refluy | 45% Commission,Member area and video courses,Refluxsummit,113.48,60.00,UNKNOWN,49.43,7.00,5.19,Promote now,569,education-courses,LOW,NORMAL,5/5 (100%),25.63,18.5,14.0,10.0,10.0,5.0,83.13,EVIDENCE_RICH,$49.43 net/sale; 7% cart conversion; low 5.19% cancellation; open promotion; published performance data; 1.6y track record,none material at this stage,60.0,68.09,0.436,HIGH,1
23,Earn 60% Commission Promoting Advanced Collagen Plus!,Supplements - health,soundview,145.27,60.00,UNKNOWN,116.97,3.00,5.50,Promote now,671,health-supplement,HIGH,NORMAL,5/5 (100%),29.02,12.5,14.0,10.0,10.0,7.0,82.52,EVIDENCE_RICH,$116.97 net/sale; 3% cart conversion; low 5.50% cancellation; open promotion; published performance data; 1.8y track record,weak 3% cart conversion; HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,87.16,0.805,HIGH,1
24,Reflux Online Summit | Take Control of Your Acid Reflux,Member area and video courses,Refluxsummit,89.32,60.00,UNKNOWN,49.43,7.00,5.19,Promote now,569,education-courses,LOW,NORMAL,5/5 (100%),25.63,18.5,14.0,10.0,10.0,4.0,82.13,EVIDENCE_RICH,$49.43 net/sale; 7% cart conversion; low 5.19% cancellation; open promotion; published performance data; 1.6y track record,none material at this stage,60.0,53.59,0.553,HIGH,1
25,SPARTAMAX Male Enhancement Gummies | High EPC and Commission,Deliverable,midasman88,193.01,65.00,UNKNOWN,148.10,4.00,7.44,Promote now,319,health-supplement,HIGH,NORMAL,5/5 (100%),27.95,14,14.0,9.0,10.0,7.0,81.95,EVIDENCE_RICH,$148.10 net/sale; 4% cart conversion; open promotion; published performance data,HIGH preliminary risk: sexual-health / male-enhancement claims,65.0,125.46,0.767,HIGH,1
26,CaviArgan,Deliverable,koshea76,114.02,65.00,UNKNOWN,87.66,2.00,1.78,Promote now,341,health-supplement,MEDIUM,NORMAL,5/5 (100%),27.88,14,14.0,9.0,10.0,7.0,81.88,EVIDENCE_RICH,$87.66 net/sale; 2% cart conversion; low 1.78% cancellation; open promotion; published performance data,weak 2% cart conversion,65.0,74.11,0.769,HIGH,1
27,The 5 Foot Farm: 80% Commissions and Recurring Upsell,E-books,FiveFootFarm,60.39,80.00,UNKNOWN,17.20,12.00,9.29,Promote now,628,other,LOW,NORMAL,5/5 (100%),21.57,20,14.0,10.0,9.0,7.0,81.57,EVIDENCE_RICH,$17.20 net/sale; 12% cart conversion; open promotion; published performance data; 1.7y track record,none material at this stage,80.0,48.31,0.285,HIGH,1
28,Pep Tonic,Supplements - health,soundview,147.36,60.00,UNKNOWN,47.81,7.00,7.31,Promote now,410,health-supplement,HIGH,NORMAL,5/5 (100%),25.5,17,14.0,10.0,10.0,5.0,81.5,EVIDENCE_RICH,$47.81 net/sale; 7% cart conversion; open promotion; published performance data; 1.1y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,88.42,0.324,HIGH,1
29,Tufting Mastery Class | How To Make Rugs,Member area and video courses,kramis_teppich_design,99.44,50.00,UNKNOWN,42.30,4.00,2.57,Promote now,1018,education-courses,LOW,NORMAL,5/5 (100%),25.02,17,14.0,10.0,10.0,5.0,81.02,EVIDENCE_RICH,$42.30 net/sale; 4% cart conversion; low 2.57% cancellation; open promotion; published performance data; 2.8y track record,none material at this stage,50.0,49.72,0.425,HIGH,1
30,The Number 1 Serger and Overlocker Online Sewing Course,Member area and video courses,creatory,75.91,35.00,UNKNOWN,19.28,45.00,3.30,Request promotion,769,home-diy,LOW,NORMAL,5/5 (100%),22.0,25,7.0,10.0,9.0,8.0,81.0,EVIDENCE_RICH,$19.28 net/sale; 45% cart conversion; low 3.30% cancellation; published performance data; 2.1y track record,vendor approval required,35.0,26.57,0.254,HIGH,1
31,Brand New Opportunity – Earn 60% Commission!,Supplements - health,soundview,241.32,60.00,UNKNOWN,78.06,8.00,10.06,Promote now,388,health-supplement,HIGH,NORMAL,5/5 (100%),25.42,14.5,14.0,10.0,10.0,7.0,80.92,EVIDENCE_RICH,$78.06 net/sale; 8% cart conversion; open promotion; published performance data; 1.1y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,144.79,0.323,HIGH,1
32,Dubai Wealth Secret - Brand-New Forbidden Wealth Angle Going,Downloads,destinyaff,50.86,75.00,UNKNOWN,43.93,12.00,12.66,Promote now,216,forex-crypto-trading,HIGH,NORMAL,5/5 (100%),25.17,17.5,14.0,9.0,10.0,5.0,80.67,EVIDENCE_RICH,$43.93 net/sale; 12% cart conversion; open promotion; published performance data,HIGH preliminary risk: financial-trading promises,75.0,38.15,0.864,HIGH,1
33,Nerve Fresh,Supplements - health,premvitality,189.47,70.00,UNKNOWN,114.92,10.00,14.07,Promote now,677,health-supplement,HIGH,NORMAL,5/5 (100%),26.95,14.5,14.0,10.0,10.0,5.0,80.45,EVIDENCE_RICH,$114.92 net/sale; 10% cart conversion; open promotion; published performance data; 1.9y track record,HIGH preliminary risk: implied treatment of a medical condition,70.0,132.63,0.607,HIGH,1
34,Vertigenics,Supplements - health,Vertigenics,183.94,65.00,UNKNOWN,112.39,10.00,13.58,Promote now,635,health-supplement,HIGH,NORMAL,5/5 (100%),26.86,14.5,14.0,10.0,10.0,5.0,80.36,EVIDENCE_RICH,$112.39 net/sale; 10% cart conversion; open promotion; published performance data; 1.7y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,119.56,0.611,HIGH,1
35,NEW: The Self-Sufficient Backyard,Book (printed),sbackyard,51.80,75.00,UNKNOWN,27.18,9.00,1.28,Promote now,1988,survival-preparedness,MEDIUM,NORMAL,5/5 (100%),23.31,20,14.0,8.0,10.0,5.0,80.31,EVIDENCE_RICH,$27.18 net/sale; 9% cart conversion; low 1.28% cancellation; open promotion; published performance data; 5.4y track record,none material at this stage,75.0,38.85,0.525,HIGH,1
36,Peak BioBoost,Supplements - health,peakbiome,158.24,50.00,UNKNOWN,75.13,12.00,6.91,Request promotion,1497,health-supplement,HIGH,NORMAL,5/5 (100%),25.27,20,7.0,8.0,10.0,10.0,80.27,EVIDENCE_RICH,$75.13 net/sale; 12% cart conversion; published performance data; 4.1y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,50.0,79.12,0.475,HIGH,1
37,Forager's Guide to Wild Foods – BRAND NEW!,Book (printed),fguide,50.82,75.00,UNKNOWN,26.42,28.00,1.83,Request promotion,1918,other,LOW,NORMAL,5/5 (100%),23.2,25,7.0,8.0,10.0,7.0,80.2,EVIDENCE_RICH,$26.42 net/sale; 28% cart conversion; low 1.83% cancellation; published performance data; 5.3y track record,vendor approval required,75.0,38.12,0.52,HIGH,1
38,The Genius Wave,Downloads,thegeniuswave,50.66,75.00,UNKNOWN,43.85,15.00,7.79,Request promotion,870,other,LOW,NORMAL,5/5 (100%),25.16,20,7.0,10.0,10.0,7.0,79.16,EVIDENCE_RICH,$43.85 net/sale; 15% cart conversion; published performance data; 2.4y track record,vendor approval required,75.0,37.99,0.866,HIGH,1
39,Kidney Solution,Downloads,Kidneycoach,87.00,75.00,UNKNOWN,49.38,7.00,11.17,Promote now,971,health-supplement,HIGH,NORMAL,5/5 (100%),25.62,14.5,14.0,10.0,10.0,5.0,79.12,EVIDENCE_RICH,$49.38 net/sale; 7% cart conversion; open promotion; published performance data; 2.7y track record,HIGH preliminary risk: implied treatment of a medical condition,75.0,65.25,0.568,HIGH,1
40,Blood Sugar Blaster,Supplements - health,premvitality,193.40,60.00,UNKNOWN,133.52,7.00,12.13,Promote now,2014,health-supplement,HIGH,NORMAL,5/5 (100%),27.54,14.5,14.0,8.0,10.0,5.0,79.04,EVIDENCE_RICH,$133.52 net/sale; 7% cart conversion; open promotion; published performance data; 5.5y track record,HIGH preliminary risk: implied treatment of a medical condition,60.0,116.04,0.69,HIGH,1
41,Tube Magic - AI Tools For Growing on YouTube,Software,tubemagic,47.00,50.00,UNKNOWN,265.11,1.00,8.94,Promote now,913,ai-software,LOW,EXTREME_NEEDS_REVIEW,5/5 (100%),30.0,9,14.0,10.0,9.0,7.0,79.0,EVIDENCE_RICH,$265.11 net/sale; 1% cart conversion; open promotion; published performance data; 2.5y track record,"weak 1% cart conversion; net/price 5.64x - payout likely funnel-wide, not front-end",50.0,23.5,5.641,HIGH,1
42,Prime Perform Supplement EN,Supplements - health,thankyouchoice,212.50,30.00,UNKNOWN,115.81,3.00,8.56,Promote now,431,health-supplement,HIGH,NORMAL,5/5 (100%),26.98,11,14.0,10.0,10.0,7.0,78.98,EVIDENCE_RICH,$115.81 net/sale; 3% cart conversion; open promotion; published performance data; 1.2y track record,weak 3% cart conversion; HIGH preliminary risk: ingestible supplement - health claims require substantiation,30.0,63.75,0.545,HIGH,1
43,Promote the Ultimate Digital Marketing Guide eBook now!,E-books,Fitlifesolutions,37.00,80.00,UNKNOWN,21.59,16.00,11.29,Promote now,766,other,LOW,NORMAL,5/5 (100%),22.43,19.5,14.0,10.0,10.0,3.0,78.93,EVIDENCE_RICH,$21.59 net/sale; 16% cart conversion; open promotion; published performance data; 2.1y track record,none material at this stage,80.0,29.6,0.584,HIGH,1
44,TonicGreens,Supplements - health,tonicgreens,189.48,60.00,UNKNOWN,84.62,5.00,7.83,Promote now,1285,health-supplement,HIGH,NORMAL,5/5 (100%),25.74,14,14.0,8.0,10.0,7.0,78.74,EVIDENCE_RICH,$84.62 net/sale; 5% cart conversion; open promotion; published performance data; 3.5y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,113.69,0.447,HIGH,1
45,EchoXen,Supplements - health,RM7866,244.66,70.00,UNKNOWN,106.93,3.00,9.57,Promote now,420,health-supplement,HIGH,NORMAL,5/5 (100%),26.66,11,14.0,10.0,10.0,7.0,78.66,EVIDENCE_RICH,$106.93 net/sale; 3% cart conversion; open promotion; published performance data; 1.2y track record,weak 3% cart conversion; HIGH preliminary risk: ingestible supplement - health claims require substantiation,70.0,171.26,0.437,HIGH,1
46,Silence Tinnitus and Hearing Issues with Zeneara!,Supplements - health,Nutraville,205.56,60.00,UNKNOWN,70.02,9.00,13.71,Promote now,923,health-supplement,HIGH,NORMAL,5/5 (100%),24.99,14.5,14.0,10.0,10.0,5.0,78.49,EVIDENCE_RICH,$70.02 net/sale; 9% cart conversion; open promotion; published performance data; 2.5y track record,HIGH preliminary risk: implied treatment of a medical condition,60.0,123.34,0.341,HIGH,1
47,Start Promoting the JointVive Today!,Supplements - health,zenmavibe,212.13,65.00,UNKNOWN,89.20,6.00,10.78,Promote now,453,health-supplement,HIGH,NORMAL,5/5 (100%),25.95,11.5,14.0,10.0,10.0,7.0,78.45,EVIDENCE_RICH,$89.20 net/sale; 6% cart conversion; open promotion; published performance data; 1.2y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,137.88,0.42,HIGH,1
48,https://dentitox24.com/help/affiliates.php,Supplements - health,Dentitox,187.78,55.00,UNKNOWN,122.49,6.00,2.83,Request promotion,830,health-supplement,HIGH,NORMAL,5/5 (100%),27.2,17,7.0,10.0,10.0,7.0,78.2,EVIDENCE_RICH,$122.49 net/sale; 6% cart conversion; low 2.83% cancellation; published performance data; 2.3y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,55.0,103.28,0.652,HIGH,1
49,Thyrafemme Balance - New Japanese-Inspired Thyroid Offer,Supplements - health,thyrafemme,147.79,65.00,UNKNOWN,134.22,3.00,11.79,Promote now,336,health-supplement,HIGH,NORMAL,5/5 (100%),29.56,8.5,14.0,9.0,10.0,7.0,78.06,EVIDENCE_RICH,$134.22 net/sale; 3% cart conversion; open promotion; published performance data,weak 3% cart conversion; HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,96.06,0.908,HIGH,1
50,Online Kirtan and Harmonium Course,Member area and video courses,PeaceYogaBerlin,117.75,20.00,UNKNOWN,61.95,8.00,3.81,Request promotion,965,education-courses,LOW,NORMAL,5/5 (100%),26.51,18.5,7.0,10.0,10.0,6.0,78.01,EVIDENCE_RICH,$61.95 net/sale; 8% cart conversion; low 3.81% cancellation; published performance data; 2.6y track record,vendor approval required,20.0,23.55,0.526,HIGH,1
51,ZenCortex,Supplements - health,I868696,79.00,65.00,UNKNOWN,101.38,11.00,14.59,Request promotion,872,health-supplement,HIGH,STRONG,5/5 (100%),28.45,17.5,7.0,10.0,10.0,5.0,77.95,EVIDENCE_RICH,$101.38 net/sale; 11% cart conversion; published performance data; 2.4y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,51.35,1.283,HIGH,1
52,Alpha Drive 24,Supplements - health,alphadrive24,144.20,70.00,UNKNOWN,133.80,6.00,15.45,Promote now,886,health-supplement,HIGH,NORMAL,5/5 (100%),29.55,9,14.0,10.0,10.0,5.0,77.55,EVIDENCE_RICH,$133.80 net/sale; 6% cart conversion; open promotion; published performance data; 2.4y track record,high 15.45% cancellation; HIGH preliminary risk: ingestible supplement - health claims require substantiation,70.0,100.94,0.928,HIGH,1
53,ProstaPure 24,Supplements - health,alphadrive24,143.36,75.00,UNKNOWN,133.65,5.00,15.22,Promote now,825,health-supplement,HIGH,NORMAL,5/5 (100%),29.54,9,14.0,10.0,10.0,5.0,77.54,EVIDENCE_RICH,$133.65 net/sale; 5% cart conversion; open promotion; published performance data; 2.3y track record,high 15.22% cancellation; HIGH preliminary risk: ingestible supplement - health claims require substantiation,75.0,107.52,0.932,HIGH,1
54,Healthy Heart Solution Kit,E-books,BartonPublishing,55.55,75.00,UNKNOWN,18.89,18.00,13.58,Promote now,1413,other,LOW,NORMAL,5/5 (100%),21.92,19.5,14.0,8.0,10.0,4.0,77.42,EVIDENCE_RICH,$18.89 net/sale; 18% cart conversion; open promotion; published performance data; 3.9y track record,none material at this stage,75.0,41.66,0.34,HIGH,1
55,Midas Manifestation System,Member area and video courses,midasman88,172.01,75.00,UNKNOWN,116.24,3.00,9.26,Promote now,1586,spirituality-manifest,MEDIUM,NORMAL,5/5 (100%),26.99,11,14.0,8.0,10.0,7.0,76.99,EVIDENCE_RICH,$116.24 net/sale; 3% cart conversion; open promotion; published performance data; 4.3y track record,weak 3% cart conversion,75.0,129.01,0.676,HIGH,1
56,Shifting Vibrations - Proven Digital Manifestation Offer,Downloads,astral43,62.00,90.00,UNKNOWN,39.69,13.00,24.19,Promote now,683,spirituality-manifest,MEDIUM,NORMAL,5/5 (100%),24.77,13,14.0,10.0,10.0,5.0,76.77,EVIDENCE_RICH,$39.69 net/sale; 13% cart conversion; open promotion; published performance data; 1.9y track record,high 24.19% cancellation,90.0,55.8,0.64,HIGH,1
57,Clearing Academy,Member area and video courses,Statbrook,54.82,85.00,UNKNOWN,29.72,5.00,6.94,Promote now,649,education-courses,LOW,NORMAL,5/5 (100%),23.65,14,14.0,10.0,10.0,5.0,76.65,EVIDENCE_RICH,$29.72 net/sale; 5% cart conversion; open promotion; published performance data; 1.8y track record,none material at this stage,85.0,46.6,0.542,HIGH,1
58,Backlink Bundle – Best SEO Service,Remote service provided electronically,praneet_brar,249.00,75.00,UNKNOWN,81.34,15.00,52.78,Promote now,452,other,LOW,NORMAL,5/5 (100%),25.58,13,14.0,10.0,10.0,4.0,76.58,EVIDENCE_RICH,$81.34 net/sale; 15% cart conversion; open promotion; published performance data; 1.2y track record,high 52.78% cancellation,75.0,186.75,0.327,HIGH,1
59,Cashflow Secrets,Member area and video courses,Moneyripples,104.85,90.00,UNKNOWN,36.51,23.00,48.76,Promote now,1258,education-courses,LOW,NORMAL,5/5 (100%),24.45,15,14.0,8.0,10.0,5.0,76.45,EVIDENCE_RICH,$36.51 net/sale; 23% cart conversion; open promotion; published performance data; 3.4y track record,high 48.76% cancellation,90.0,94.36,0.348,HIGH,1
60,The Billionaire Brainwave,Downloads,Attractbr,49.72,75.00,UNKNOWN,40.78,17.00,11.02,Request promotion,1021,mental-wellbeing,HIGH,NORMAL,5/5 (100%),24.88,19.5,7.0,10.0,10.0,5.0,76.38,EVIDENCE_RICH,$40.78 net/sale; 17% cart conversion; published performance data; 2.8y track record,vendor approval required; HIGH preliminary risk: income / get-rich promises,75.0,37.29,0.82,HIGH,1
61,NanoDefense Pro,Deliverable,NanoDefensePro,209.46,55.00,UNKNOWN,173.19,6.00,7.36,Request promotion,903,health-supplement,MEDIUM,NORMAL,5/5 (100%),28.0,14,7.0,10.0,10.0,7.0,76.0,EVIDENCE_RICH,$173.19 net/sale; 6% cart conversion; published performance data; 2.5y track record,vendor approval required,55.0,115.2,0.827,HIGH,1
62,Get Paid To Do Simple Writing Jobs Online,Member area and video courses,socialpaid,48.95,75.00,UNKNOWN,82.97,9.00,19.99,Promote now,1845,education-courses,LOW,VERY_STRONG,5/5 (100%),27.66,12,14.0,8.0,9.0,5.0,75.66,EVIDENCE_RICH,$82.97 net/sale; 9% cart conversion; open promotion; published performance data; 5.1y track record,"high 19.99% cancellation; net/price 1.70x - payout likely funnel-wide, not front-end",75.0,36.71,1.695,HIGH,1
63,TPP System,Member area and video courses,nemorauserr,3131.60,80.00,UNKNOWN,3405.52,2.00,4.33,Promote now,245,education-courses,LOW,STRONG,5/5 (100%),23.0,12.5,14.0,9.0,10.0,7.0,75.5,EVIDENCE_RICH,$3405.52 net/sale; 2% cart conversion; low 4.33% cancellation; open promotion; published performance data,weak 2% cart conversion; high ticket - cold search traffic converts poorly,80.0,2505.28,1.087,HIGH,1
64,Ultimate Dynamic Personal Budget in Google Sheets,Downloads,FinSavvyDesigns,43.23,90.00,UNKNOWN,28.30,14.00,16.89,Promote now,512,other,LOW,NORMAL,5/5 (100%),23.46,15,14.0,10.0,10.0,3.0,75.46,EVIDENCE_RICH,$28.30 net/sale; 14% cart conversion; open promotion; published performance data; 1.4y track record,high 16.89% cancellation,90.0,38.91,0.655,HIGH,1
