top5_rank,product,keyword_cluster_measured,domain,status,registry_detail,alt_tld_results,checked_via,checked_date
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",youtubetoolreport.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",empprepguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",empreadinessguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",griddownguide.com,REGISTERED,registered 2024-07-08; expires 2027-07-08,griddownguide.net=AVAILABLE; griddownguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",empsurvivalguide.com,REGISTERED,registered 2010-12-04; expires 2026-12-04,empsurvivalguide.net=AVAILABLE; empsurvivalguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",faradayprepguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
4,David's Shield,"davids shield 1,900 (intent contaminated) + emp survival book 50 + how to prepare for emp 50",gridfailureguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",homeremediesguide.com,REGISTERED,registered 2015-06-18; expires 2027-06-18,homeremediesguide.net=AVAILABLE; homeremediesguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",thehomeremedybook.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",householdremedyguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",familymedicinecabinet.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",survivalmedicineguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
5,Home Doctor,"home remedies book 1,300 + survival medicine book 390 + home doctor book 90",homeremedyhandbook.com,REGISTERED,registered 2003-10-08; expires 2026-10-08,homeremedyhandbook.net=AVAILABLE; homeremedyhandbook.org=AVAILABLE,RDAP registry lookup,2026-08-24
,"CROSS-CUTTING (herbal remedies hub, serves #1 and #5)","herbal remedies book 5,400 ($1.16 CPC) - the single largest measured term in the entire study",herbalremediesguide.com,REGISTERED,registered 2015-07-22; expires 2027-07-22,herbalremediesguide.net=REGISTERED (registered 2012-01-08; expires 2027-01-08); herbalremediesguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
,"CROSS-CUTTING (herbal remedies hub, serves #1 and #5)","herbal remedies book 5,400 ($1.16 CPC) - the single largest measured term in the entire study",theherbalremedybook.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
,"CROSS-CUTTING (herbal remedies hub, serves #1 and #5)","herbal remedies book 5,400 ($1.16 CPC) - the single largest measured term in the entire study",herbalremedylibrary.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
,"CROSS-CUTTING (herbal remedies hub, serves #1 and #5)","herbal remedies book 5,400 ($1.16 CPC) - the single largest measured term in the entire study",growyourownremedies.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
,"CROSS-CUTTING (herbal remedies hub, serves #1 and #5)","herbal remedies book 5,400 ($1.16 CPC) - the single largest measured term in the entire study",homeherbalguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
