brand_name,vendor,query,serp_source,captured,validation,pos,url,title,domain,host,kinds,emd,brand_hit
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.consumerhealthdigest.com/brain-enhancement-supplements/pineal-guardian-review.html,Pineal Guardian Review 2026: Does It Actually Work? Honest ...,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.consumerhealthdigest.com/eye-health-supplements/igenics-review.html,"IGenics Review - Features, Benefits, Pricing and More!",consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.healthwebmagazine.com/igenics-review,iGenics Review - Does It Really Work &amp; Is It Worth The Money?,healthwebmagazine.com,www.healthwebmagazine.com,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.supplementmag.com/igenics-reviews/,Videos,supplementmag.com,www.supplementmag.com,SMALL_SITE,,0.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://visionwellnesslab.com/reviews/igenics-review/,IGenics Reviews 2026 Scam or Legit? Hidden Truth!,visionwellnesslab.com,visionwellnesslab.com,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://bestsupplements.best/reviews/igenics/,"iGenics Review (2026): Real Results, Complaints &amp; Honest Analysis",bestsupplements.best,bestsupplements.best,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://www.supplementsdiary.com/igenics-review/,"iGenics Review (2025): Ingredients, Evidence &amp; Honest Verdict ...",supplementsdiary.com,www.supplementsdiary.com,SMALL_SITE,,1.0
iGenics,igenics,iGenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://consumerhealthline.com/real-truth/igenics-scam-or-legit/,"iGenics Review: Side Effects, Ingredients, and Scam Concerns",consumerhealthline.com,consumerhealthline.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.supplementmag.com/neuroprime-review/,NeuroPrime Review 2026: This Will Change How You Think!,supplementmag.com,www.supplementmag.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.consumerhealthdigest.com/brain-enhancement-supplements/neuroprime-review.html,NeuroPrime Review: Is It the Cognitive Enhancer You Need?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://bestsupplements.best/reviews/neuro-prime/,NeuroPrime Review 2026: Brain Drop Supplement Verdict,bestsupplements.best,bestsupplements.best,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.wellnessdigest.com/brain-health/neuroprime-review,NeuroPrime Review: Does It Really Improve Memory &amp; Focus?,wellnessdigest.com,www.wellnessdigest.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://healthreviewnetwork.com/brain/neuroprime-review/,NeuroPrime Review: Does This Brain Supplement Really Work for ...,healthreviewnetwork.com,healthreviewnetwork.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://yourhealthrights.com/neuroprime-review/,NeuroPrime Review: My Honest 30-Day Brain Support Experience,yourhealthrights.com,yourhealthrights.com,SMALL_SITE,,1.0
NeuroPrime,zenmavibe,NeuroPrime review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://consumerhealthline.com/brain-health-supplement/neuroprime-reviews/,NeuroPrime Reviews &ndash; Does This Brain Supplement Really Work?,consumerhealthline.com,consumerhealthline.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.consumerhealthdigest.com/energy-supplements/advanced-mitochondrial-formula.html,Advanced Mitochondrial Formula Review: Is this Supplement Safe?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://jefferyshome.com/advanced-mitochondrial-formula-review/,Videos,jefferyshome.com,jefferyshome.com,SMALL_SITE,,0.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.healthinsiders.com/advanced-mitochondrial-formula-review,Advanced Mitochondrial Formula Review: Does It Really Boost ...,healthinsiders.com,www.healthinsiders.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.supplementsdiary.com/advanced-mitochondrial-formula-review/,Advanced Mitochondrial Formula Reviews &ndash; Here&apos;s My Experience,supplementsdiary.com,www.supplementsdiary.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://www.thesupplementpost.com/reviews/advanced-mitochondrial-formula-pros-and-cons,Advanced Mitochondrial Formula Review: Scam Or Safe?,thesupplementpost.com,www.thesupplementpost.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://www.advancedbionutritionals.com/Mitochondrial-Supplements/Advanced-Mitochondrial-Formula/Reviews.htm,Advanced Mitochondrial Formula: Worth It or Waste?,advancedbionutritionals.com,www.advancedbionutritionals.com,SMALL_SITE,,1.0
Advanced Mitochondrial Formula,soundview,Advanced Mitochondrial Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.thesupplementpost.com/reviews/advanced-mitochondrial-formula,Reviews For Advanced Mitochondrial Formula,thesupplementpost.com,www.thesupplementpost.com,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.consumerhealthdigest.com/nerve-health-supplements/nerve-fresh-review.html,Nerve Fresh Review: Can It Truly Support Healthy Nerves?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.supplementmag.com/nerve-fresh-review/,Nerve Fresh Review 2026: Is This Supplement Worth It?,supplementmag.com,www.supplementmag.com,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.supplementsdiary.com/nerve-fresh-review/,Nerve Fresh Review: Side Effects Ingredients and Scams Concerns,supplementsdiary.com,www.supplementsdiary.com,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://consumerhealthline.com/nerve-health-reviews/nerve-fresh/,Videos,consumerhealthline.com,consumerhealthline.com,SMALL_SITE,,0.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://bestsupplements.best/reviews/nerve-fresh/,"Nerve Fresh Review &ndash; Pros, Cons, Benefits &amp; Real User Feedback",bestsupplements.best,bestsupplements.best,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://www.dailyhealthsupplement.com/nerve-fresh-review/,Nerve Fresh Review 2026: Neuropathy Supplement,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,1.0
Nerve Fresh,premvitality,Nerve Fresh review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://nervefreshreview.blog/,Nerve Fresh Review 2026: Don&rsquo;t Buy Before Reading This!,nervefreshreview.blog,nervefreshreview.blog,EMD_ROOT,EMD_ROOT,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.dailyhealthsupplement.com/vertigenics-review/,Vertigenics Review 2026: The Truth Exposed,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://therealrealreviews.com/vertigenics-review-my-60-day-test-results/,Vertigenics Review: My 60-Day Test Results,therealrealreviews.com,therealrealreviews.com,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.consumerhealthdigest.com/brain-enhancement-supplements/vertigenics-review.html,Vertigenics Review: Does It Boost Focus &amp; Overall Well-Being?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.wellnessdigest.com/wellness/vertigenics-review,Vertigenics Review &ndash; Boost Mental Clarity &amp; Stability,wellnessdigest.com,www.wellnessdigest.com,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://supplementstips.com/vertigenics-reviews-complaints-2026/,Vertigenics Reviews 2026: Scam or Legit? Read Before You Buy,supplementstips.com,supplementstips.com,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://bioboostreviews.blog/vertigenics-review/,"Vertigenics Review 2026 &mdash; Ingredients, Evidence Gap Analysis ...",bioboostreviews.blog,bioboostreviews.blog,SMALL_SITE,,1.0
Vertigenics,Vertigenics,Vertigenics review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.supplementsdiary.com/vertigenics-review/,"Vertigenics Review: Side Effects, Ingredients, Scam Truth",supplementsdiary.com,www.supplementsdiary.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.consumerhealthdigest.com/bodybuilding/advanced-amino-formula-review.html,Advanced Amino Formula Review: Is It Worth Buying?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.thesupplementpost.com/reviews/advanced-amino-formula-pros-and-cons,Videos,thesupplementpost.com,www.thesupplementpost.com,SMALL_SITE,,0.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.healthinsiders.com/advanced-amino-formula-review,Advanced Amino Formula Pros and Cons: Worth It or Waste?,healthinsiders.com,www.healthinsiders.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.supplementmag.com/advanced-amino-formula-reviews/,I Tried Advanced Amino Formula &ndash; Here&rsquo;s My Review,supplementmag.com,www.supplementmag.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://rootolife.com/advanced-amino-formula-review/,Advanced Amino Formula Reviews 2026: Scam or Legit?,rootolife.com,rootolife.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://www.supplementsdiary.com/advanced-amino-formula-review/,Advanced Amino Formula Review: Is It Better Than Whey? (2026),supplementsdiary.com,www.supplementsdiary.com,SMALL_SITE,,1.0
Advanced Amino Formula,soundview,Advanced Amino Formula review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.advancedbionutritionals.com/Amino-Acid-Supplements/Advanced-Amino/Reviews.htm?svp_reviews=9,"Advanced Amino Formula Review: Ingredients, Side Effects &amp; Scams",advancedbionutritionals.com,www.advancedbionutritionals.com,SMALL_SITE,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.linkedin.com/pulse/dubai-wealth-secret-review-2026-luxury-training-really-sujoy-mukherji-ia56e/,Dubai Wealth Secret Review (2026): Is This Luxury Wealth ...,linkedin.com,www.linkedin.com,UGC/PLATFORM,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://marksinsights.com/dubai-wealth-secret/,Videos,marksinsights.com,marksinsights.com,SMALL_SITE,,0.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://aifastreview.com/dubai-wealth-secret-review/,Dubai Wealth Secret Review: Legit or a Scam?,aifastreview.com,aifastreview.com,SMALL_SITE,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://cloudzat.com/dubai-wealth-secret-review/,Dubai Wealth Secret Review: Honest $39 Audio Test,cloudzat.com,cloudzat.com,SMALL_SITE,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://www.rightmindedreviews.com/dubai-wealth-secret-review-is-this-high-ticket-system-a-scam-my-results-with-the-passive-income-model,Dubai Wealth Secret Review: I Used it for 30 Days (My Results),rightmindedreviews.com,www.rightmindedreviews.com,SMALL_SITE,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://piperhobby.com/my-dubai-wealth-secret-reviews/,Dubai Wealth Secret Review: Scam or Passive Income Results ...,piperhobby.com,piperhobby.com,SMALL_SITE,,1.0
Dubai Wealth Secret,destinyaff,Dubai Wealth Secret review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.manifestationroutine.com/reviews/dubai-wealth-secret/,Dubai Wealth Secret Reviews 2025 &ndash; I Tried It For 30 Day,manifestationroutine.com,www.manifestationroutine.com,SMALL_SITE,,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.supplementmag.com/blood-sugar-blaster-review/,Blood Sugar Blaster Review 2026: What&rsquo;s the REAL Verdict?,supplementmag.com,www.supplementmag.com,SMALL_SITE,,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.consumerhealthdigest.com/blood-sugar-supplements-review/blood-sugar-blaster.html,Blood Sugar Blaster Review: Is It Effective for Blood Sugar?,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://mediclime.com/prediabetes-diabetes-treatment/blood-sugar-blaster-regulate-your-blood-sugar-naturally-buy-204,Videos,mediclime.com,mediclime.com,SMALL_SITE,,0.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://blood-sugar-blaster.mediprimes.com/,Blood Sugar Blaster: Regulate Your Blood Sugar Naturally,mediprimes.com,blood-sugar-blaster.mediprimes.com,EMD_SUBDOMAIN,EMD_SUBDOMAIN,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://www.dailyhealthsupplement.com/blood-sugar-blaster-review/,Blood Sugar Blaster &ndash; Glucose Support &amp; Balanced Energy ...,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://freshupreviews.com/blood-sugar-blaster-reviews/,Blood Sugar Blaster Review 2026 | Must-Read Before Buying,freshupreviews.com,freshupreviews.com,SMALL_SITE,,1.0
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://checklinehealth.com/blood-sugar-blaster-review/,Blood Sugar Blaster Reviews 2026: My Husband Tried It For 90 ...,checklinehealth.com,checklinehealth.com,SMALL_SITE,,1.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://tonicgreens.reviews/,TonicGreens Review (2025) &bull; 57+ Superfoods for Immune ...,tonicgreens.reviews,tonicgreens.reviews,EMD_ROOT,EMD_ROOT,1.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.consumerhealthdigest.com/immune-system-supplements/tonic-greens-review.html,Videos,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,0.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://inmybowl.com/tonic-greens-review/,Tonic Greens Review: Is It the Immune Booster You Need?,inmybowl.com,inmybowl.com,SMALL_SITE,,0.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://nuvectramedical.com/tonicgreens-review/,Tonic Greens Reviews 2026 | Is It Worth? An MD&rsquo;s Honest Review,nuvectramedical.com,nuvectramedical.com,SMALL_SITE,,0.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://honestsupplementguide.com/general-fitness/tonicgreens-review.html,TonicGreens Reviews &ndash; Must Read This Before Buying!,honestsupplementguide.com,honestsupplementguide.com,SMALL_SITE,,1.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://tonicgreens.colibrim.ai/,Tonicgreens Review (2026): We Tested the Claims. Here Is Our ...,colibrim.ai,tonicgreens.colibrim.ai,EMD_SUBDOMAIN,EMD_SUBDOMAIN,1.0
TonicGreens,tonicgreens,TonicGreens review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://www.dailyhealthsupplement.com/tonic-greens-review/,TonicGreens&trade; Original | Immune system boosters Tonic Greens,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,1.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://www.supplementmag.com/caviargan-review/,CaviArgan review 2026: I Wish I Knew This! - supplementmag.com,supplementmag.com,www.supplementmag.com,SMALL_SITE,,1.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.dailyhealthsupplement.com/caviargan-review/,Videos,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,0.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://thecountyreview.com/caviargan-review/,CaviArgan Review 2026: Honest Buyer Confession,thecountyreview.com,thecountyreview.com,SMALL_SITE,,1.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.consumerhealthdigest.com/anti-aging-reviews/caviargan.html,CaviArgan Review [2026]: Real Results or Just Another ...,consumerhealthdigest.com,www.consumerhealthdigest.com,SMALL_SITE,,1.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://www.mfreviews.com/caviargan-review-2026-i-spent-3-months-testing-heres-what-really-happened/,"CaviArgan Review &ndash; Hydrate, Firm, and Restore Radiance",mfreviews.com,www.mfreviews.com,SMALL_SITE,,1.0
CaviArgan,koshea76,CaviArgan review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://www.mfreviews.com/caviargan-reviews-2026-we-tried-it-my-honest-review/,CaviArgan Review 2026: I Spent 3 Months Testing - Here's What ...,mfreviews.com,www.mfreviews.com,SMALL_SITE,,1.0
