queue_rank,product_name,vendor,phase2_score,price_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,product_economics,why_deserves_bing_research,preliminary_risk,expected_research_angle,confidence,derived_niche
11,The 5 Foot Farm: 80% Commissions and Recurring Upsell,FiveFootFarm,81.57,60.39,17.20,12.00,9.29,Promote now,$60.39 price / 80.00% comm / $17.20 net,"proven conversion (12.00% cart, 9.29% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
12,Tufting Mastery Class | How To Make Rugs,kramis_teppich_design,81.02,99.44,42.30,4.00,2.57,Promote now,$99.44 price / 50.00% comm / $42.30 net,"proven conversion (4.00% cart, 2.57% cancel); $42/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",HIGH,education-courses
13,Unlock Earnings! Promote PinealXT!,Nutraville,92.0,211.10,158.86,13.00,9.97,Promote now,$211.10 price / 55.00% comm / $158.86 net,"proven conversion (13.00% cart, 9.97% cancel); $159/sale supports a content site at modest traffic; no approval gate",HIGH,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
14,Idrotherapy *GET PAID ON REBILLS EACH MONTH*,koshea76,83.28,119.98,97.20,2.00,1.97,Promote now,$119.98 price / 75.00% comm / $97.20 net,"proven conversion (2.00% cart, 1.97% cancel); $97/sale supports a content site at modest traffic; no approval gate",MEDIUM,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
15,Tube Magic - AI Tools For Growing on YouTube,tubemagic,79.0,47.00,265.11,1.00,8.94,Promote now,$47.00 price / 50.00% comm / $265.11 net,"proven conversion (1.00% cart, 8.94% cancel); $265/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"tool review + alternatives + ""vs <competitor>"" + pricing queries",MEDIUM,ai-software
16,The Number 1 Serger and Overlocker Online Sewing Course,creatory,81.0,75.91,19.28,45.00,3.30,Request promotion,$75.91 price / 35.00% comm / $19.28 net,"proven conversion (45.00% cart, 3.30% cancel); low compliance risk, truthful content is straightforward",LOW,project how-to + plan/kit review + tool comparisons,HIGH,home-diy
17,CaviArgan,koshea76,81.88,114.02,87.66,2.00,1.78,Promote now,$114.02 price / 65.00% comm / $87.66 net,"proven conversion (2.00% cart, 1.78% cancel); $88/sale supports a content site at modest traffic; no approval gate",MEDIUM,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",MEDIUM,health-supplement
18,Clearing Academy,Statbrook,76.65,54.82,29.72,5.00,6.94,Promote now,$54.82 price / 85.00% comm / $29.72 net,"proven conversion (5.00% cart, 6.94% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",HIGH,education-courses
19,Cashflow Secrets,Moneyripples,76.45,104.85,36.51,23.00,48.76,Promote now,$104.85 price / 90.00% comm / $36.51 net,"proven conversion (23.00% cart, 48.76% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",HIGH,education-courses
20,NEW: The Self-Sufficient Backyard,sbackyard,80.31,51.80,27.18,9.00,1.28,Promote now,$51.80 price / 75.00% comm / $27.18 net,"proven conversion (9.00% cart, 1.28% cancel); no approval gate",MEDIUM,"branded review + problem-led (""how to ..."") + book/guide comparisons",HIGH,survival-preparedness
21,Get Paid To Do Simple Writing Jobs Online,socialpaid,75.66,48.95,82.97,9.00,19.99,Promote now,$48.95 price / 75.00% comm / $82.97 net,"proven conversion (9.00% cart, 19.99% cancel); $83/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",MEDIUM,education-courses
22,Advanced Memory Formula,soundview,87.54,147.65,91.44,7.00,6.53,Promote now,$147.65 price / 60.00% comm / $91.44 net,"proven conversion (7.00% cart, 6.53% cancel); $91/sale supports a content site at modest traffic; no approval gate",HIGH,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
23,TPP System,nemorauserr,75.5,3131.60,3405.52,2.00,4.33,Promote now,$3131.60 price / 80.00% comm / $3405.52 net,"proven conversion (2.00% cart, 4.33% cancel); $3406/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",MEDIUM,education-courses
24,AI Profit Sniper,aiprofitsniper,75.33,65.20,27.35,14.00,27.21,Promote now,$65.20 price / 75.00% comm / $27.35 net,"proven conversion (14.00% cart, 27.21% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,"tool review + alternatives + ""vs <competitor>"" + pricing queries",HIGH,ai-software
25,Online Kirtan and Harmonium Course,PeaceYogaBerlin,78.01,117.75,61.95,8.00,3.81,Request promotion,$117.75 price / 20.00% comm / $61.95 net,"proven conversion (8.00% cart, 3.81% cancel); $62/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward",LOW,"course review + ""worth it"" + vs named competitor courses",HIGH,education-courses
26,Promote Pineal Guardian Now!,Nutraville,86.0,252.93,235.62,9.00,9.48,Promote now,$252.93 price / 70.00% comm / $235.62 net,"proven conversion (9.00% cart, 9.48% cancel); $236/sale supports a content site at modest traffic; no approval gate",HIGH,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
27,Remixable - Founder Edition,remixable,74.0,512.01,177.54,10.00,22.85,Promote now,$512.01 price / 50.00% comm / $177.54 net,"proven conversion (10.00% cart, 22.85% cancel); $178/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"tool review + alternatives + ""vs <competitor>"" + pricing queries",HIGH,ai-software
28,Promote HydroLean XT Gold Now!,zenmavibe,85.36,270.01,87.17,9.00,5.56,Promote now,$270.01 price / 70.00% comm / $87.17 net,"proven conversion (9.00% cart, 5.56% cancel); $87/sale supports a content site at modest traffic; no approval gate",HIGH,branded review + comparison vs mainstream programmes + results queries,HIGH,weight-loss
29,Midas Manifestation System,midasman88,76.99,172.01,116.24,3.00,9.26,Promote now,$172.01 price / 75.00% comm / $116.24 net,"proven conversion (3.00% cart, 9.26% cancel); $116/sale supports a content site at modest traffic; no approval gate",MEDIUM,"branded review + ""does it work"" queries (claims hard to verify)",HIGH,spirituality-manifest
30,Shifting Vibrations - Proven Digital Manifestation Offer,astral43,76.77,62.00,39.69,13.00,24.19,Promote now,$62.00 price / 90.00% comm / $39.69 net,"proven conversion (13.00% cart, 24.19% cancel); no approval gate",MEDIUM,"branded review + ""does it work"" queries (claims hard to verify)",HIGH,spirituality-manifest
