record_id,product_name,product_type,price_usd,price_raw,price_note,commission_type,commission_pct,commission_flat_usd,commission_raw,net_earnings_per_sale_usd,earnings_per_cart_visitor,cart_conversion_pct,cancellation_rate_pct,vendor,online_since_raw,online_since_iso,product_age_days,payment_method,promotion_status,has_sales_page_link,has_affiliate_support_link,sales_page_url,affiliate_support_url,digistore24_product_url,description,category,derived_niche,source_page,parse_flags
18,Blood Sugar Blaster,Supplements - health,193.40,$193.40,exact,percent,60.00,UNKNOWN,60.00%,133.52,UNKNOWN,7.00,12.13,premvitality,2/17/21,2021-02-17,2014,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
19,https://dentitox24.com/help/affiliates.php,Supplements - health,187.78,$187.78,exact,percent,55.00,UNKNOWN,55.00%,122.49,UNKNOWN,6.00,2.83,Dentitox,5/16/24,2024-05-16,830,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
20,EndoPeak,Supplements - health,79.00,$79.00,exact,percent,65.00,UNKNOWN,65.00%,105.81,UNKNOWN,6.00,10.30,I868696,9/19/23,2023-09-19,1070,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
21,Audifort,Supplements - health,249.77,$249.77,exact,percent,64.00,UNKNOWN,64.00%,151.29,UNKNOWN,6.00,11.06,skyhighperformers,7/31/25,2025-07-31,389,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
22,Prostadine,Supplements - health,211.56,$211.56,exact,percent,65.00,UNKNOWN,65.00%,144.35,UNKNOWN,5.00,13.98,Prostadine,5/25/23,2023-05-25,1187,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
23,Glucotonic,Supplements - health,158.00,$158.00,exact,percent,64.00,UNKNOWN,64.00%,130.28,UNKNOWN,4.00,7.75,skyhighperformers,3/19/25,2025-03-19,523,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
24,Forager's Guide to Wild Foods – BRAND NEW!,Book (printed),50.82,$50.82,exact,percent,75.00,UNKNOWN,75.00%,26.42,UNKNOWN,28.00,1.83,fguide,5/24/21,2021-05-24,1918,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
25,Anti-Looter Kit - BRAND NEW!,Deliverable,201.26,$201.26,exact,percent,33.00,UNKNOWN,33.00%,53.01,UNKNOWN,18.00,3.55,antilooterkit,1/29/25,2025-01-29,572,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
26,The Billionaire Brainwave,Downloads,49.72,$49.72,exact,percent,75.00,UNKNOWN,75.00%,40.78,UNKNOWN,17.00,11.02,Attractbr,11/7/23,2023-11-07,1021,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,mental-wellbeing,1,
27,Unlock Earnings! Promote PinealXT!,Supplements - health,211.10,$211.10,exact,percent,55.00,UNKNOWN,55.00%,158.86,UNKNOWN,13.00,9.97,Nutraville,10/10/23,2023-10-10,1049,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
28,The Premium Prompt Library for Smarter Affiliate Execution,Downloads,37.00,$37.00,exact,percent,50.00,UNKNOWN,50.00%,7.83,UNKNOWN,8.00,5.19,HeikoBoos,3/15/24,2024-03-15,892,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,make-money-online,1,
29,Start Affiliate Marketing like a Pro,E-books,7.07,$7.07,exact,percent,50.00,UNKNOWN,50.00%,4.87,UNKNOWN,8.00,5.19,HeikoBoos,2/24/24,2024-02-24,912,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,make-money-online,1,
30,NanoDefense Pro,Deliverable,209.46,$209.46,exact,percent,55.00,UNKNOWN,55.00%,173.19,UNKNOWN,6.00,7.36,NanoDefensePro,3/4/24,2024-03-04,903,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
31,ProNail Complex,Deliverable,268.19,$268.19,exact,percent,65.00,UNKNOWN,65.00%,162.22,UNKNOWN,6.00,10.07,ProNailComplex,1/25/24,2024-01-25,942,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
32,DentiCore,Supplements - health,192.82,$192.82,exact,percent,55.00,UNKNOWN,55.00%,128.81,UNKNOWN,5.00,7.39,DentiCore,2/15/24,2024-02-15,921,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
33,Synaptigen,Supplements - health,257.40,$257.40,exact,percent,65.00,UNKNOWN,65.00%,199.68,UNKNOWN,5.00,13.00,Synaptigen,6/27/25,2025-06-27,423,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
34,Tufting Mastery Class | How To Make Rugs,Member area and video courses,99.44,$99.44,exact,percent,50.00,UNKNOWN,50.00%,42.30,UNKNOWN,4.00,2.57,kramis_teppich_design,11/10/23,2023-11-10,1018,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,education-courses,1,
35,SPARTAMAX Male Enhancement Gummies | High EPC and Commission,Deliverable,193.01,$193.01,exact,percent,65.00,UNKNOWN,65.00%,148.10,UNKNOWN,4.00,7.44,midasman88,10/9/25,2025-10-09,319,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
36,Sugar Defender,Supplements - health,186.05,$186.05,exact,percent,65.00,UNKNOWN,65.00%,112.64,UNKNOWN,4.00,11.15,I868696,1/31/24,2024-01-31,936,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
37,Kerassentials,Deliverable,247.13,$247.13,exact,percent,55.00,UNKNOWN,55.00%,138.08,UNKNOWN,4.00,17.68,Kerassentials,1/11/24,2024-01-11,956,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
38,Earn 60% Commission Promoting Advanced Collagen Plus!,Supplements - health,145.27,$145.27,exact,percent,60.00,UNKNOWN,60.00%,116.97,UNKNOWN,3.00,5.50,soundview,10/22/24,2024-10-22,671,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
39,Midas Manifestation System,Member area and video courses,172.01,$172.01,exact,percent,75.00,UNKNOWN,75.00%,116.24,UNKNOWN,3.00,9.26,midasman88,4/21/22,2022-04-21,1586,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,spirituality-manifest,1,
40,CaviArgan,Deliverable,114.02,$114.02,exact,percent,65.00,UNKNOWN,65.00%,87.66,UNKNOWN,2.00,1.78,koshea76,9/17/25,2025-09-17,341,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
41,Moringa Magic,Supplements - health,231.48,$231.48,exact,percent,65.00,UNKNOWN,65.00%,89.86,UNKNOWN,2.00,4.57,offersconnect,7/23/24,2024-07-23,762,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
42,ProDentim,Supplements - health,242.87,$242.87,exact,percent,55.00,UNKNOWN,55.00%,164.53,UNKNOWN,2.00,15.13,ProDentim,1/11/24,2024-01-11,956,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
43,Tube Magic - AI Tools For Growing on YouTube,Software,47.00,$47 per month,recurring,percent,50.00,UNKNOWN,50.00%,265.11,UNKNOWN,1.00,8.94,tubemagic,2/23/24,2024-02-23,913,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ai-software,1,PRICE_RECURRING
44,Fearless Phone Fanatic (For Cold Calling),Downloads,63.77,$63.77,exact,flat,UNKNOWN,30.00,$30.00,21.73,UNKNOWN,37.00,8.22,dezatell,5/29/25,2025-05-29,452,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,COMMISSION_FLAT
45,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,Book (printed),83.23,$83.23,exact,percent,75.00,UNKNOWN,75.00%,44.71,UNKNOWN,20.00,9.89,blackoutusa,9/19/25,2025-09-19,339,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
46,The Official Smoothie Diet™ 21-Day Weight Loss Program,E-books,28.65,$28.65,exact,percent,75.00,UNKNOWN,75.00%,18.84,UNKNOWN,16.00,UNKNOWN,smoothdiet,4/17/26,2026-04-17,129,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,weight-loss,1,PCT_INFERRED
47,The 5 Foot Farm: 80% Commissions and Recurring Upsell,E-books,60.39,$60.39,exact,percent,80.00,UNKNOWN,80.00%,17.20,UNKNOWN,12.00,9.29,FiveFootFarm,12/4/24,2024-12-04,628,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
48,ZenCortex,Supplements - health,79.00,$79.00,exact,percent,65.00,UNKNOWN,65.00%,101.38,UNKNOWN,11.00,14.59,I868696,4/4/24,2024-04-04,872,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
49,Vertigenics,Supplements - health,183.94,$183.94,exact,percent,65.00,UNKNOWN,65.00%,112.39,UNKNOWN,10.00,13.58,Vertigenics,11/27/24,2024-11-27,635,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
50,Remixable - Founder Edition,Software,512.01,$512.01,exact,percent,50.00,UNKNOWN,50.00%,177.54,UNKNOWN,10.00,22.85,remixable,11/1/22,2022-11-01,1392,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ai-software,1,
51,Promote HydroLean XT Gold Now!,Supplements - health,270.01,$270.01,exact,percent,70.00,UNKNOWN,70.00%,87.17,UNKNOWN,9.00,5.56,zenmavibe,9/20/24,2024-09-20,703,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,weight-loss,1,
52,Promote NeuroPrime Now!,Supplements - health,287.22,$287.22,exact,percent,60.00,UNKNOWN,60.00%,79.48,UNKNOWN,8.00,5.55,zenmavibe,9/17/24,2024-09-17,706,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
53,Pep Tonic,Supplements - health,147.36,$147.36,exact,percent,60.00,UNKNOWN,60.00%,47.81,UNKNOWN,7.00,7.31,soundview,7/10/25,2025-07-10,410,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
54,Goliath XL 10,Supplements - health,156.47,$156.47,exact,percent,65.00,UNKNOWN,65.00%,122.11,UNKNOWN,7.00,8.15,KoalaAdvertising,1/24/25,2025-01-24,577,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
55,HGH Activator,Supplements - health,178.97,$178.97,exact,percent,50.00,UNKNOWN,50.00%,38.09,UNKNOWN,6.00,4.79,NaturecastProducts,7/26/23,2023-07-26,1125,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
56,ProstaLite,Supplements - health,176.61,$176.61,exact,percent,65.00,UNKNOWN,65.00%,62.84,UNKNOWN,5.00,7.75,ProstaLite,7/16/24,2024-07-16,769,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
57,TonicGreens,Supplements - health,189.48,$189.48,exact,percent,60.00,UNKNOWN,60.00%,84.62,UNKNOWN,5.00,7.83,tonicgreens,2/16/23,2023-02-16,1285,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
58,Quietum Plus,Supplements - health,279.79,$279.79,exact,percent,55.00,UNKNOWN,55.00%,123.92,UNKNOWN,4.00,20.04,QuietumPlus,4/25/24,2024-04-25,851,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
59,Nervovive,Supplements - health,196.20,$196.20,exact,percent,65.00,UNKNOWN,65.00%,92.32,UNKNOWN,3.00,14.65,NervoVive,6/27/24,2024-06-27,788,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
60,Millionaire Partner System,Member area and video courses,1131.11,"$1,131.11",exact,percent,40.00,UNKNOWN,40.00%,827.48,UNKNOWN,3.00,15.64,impassive,9/9/24,2024-09-09,714,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,education-courses,1,
61,TPP System,Member area and video courses,3131.60,"$3,131.60",exact,percent,80.00,UNKNOWN,80.00%,3405.52,UNKNOWN,2.00,4.33,nemorauserr,12/22/25,2025-12-22,245,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,education-courses,1,
62,⚡️The Ultimate Keto Meal Plan⚡️ Make $37 AOV With A $1 Sale,Downloads,33.93,$33.93,exact,percent,85.00,UNKNOWN,85.00%,127.29,UNKNOWN,2.00,14.13,durchstartenonline,8/22/19,2019-08-22,2559,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,weight-loss,1,
63,PrimeBiome,Supplements - health,261.46,$261.46,exact,percent,65.00,UNKNOWN,65.00%,161.72,UNKNOWN,1.00,19.36,PrimeBiome,11/27/24,2024-11-27,635,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
64,Traffic Genius | 50% Commissions | $997 Offer,Software,1497.00,"$1,497.00",exact,percent,50.00,UNKNOWN,50.00%,278.93,UNKNOWN,1.00,21.41,viddeosai,6/5/25,2025-06-05,445,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ai-software,1,
65,Integrative Digestive Formula,Supplements - health,46.74,$46.74,exact,percent,60.00,UNKNOWN,60.00%,28.04,UNKNOWN,UNKNOWN,UNKNOWN,soundview,3/3/25,2025-03-03,539,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
66,Tesla MedBed X,Deliverable,2440.26,"$2,440.26",exact,percent,60.00,UNKNOWN,60.00%,928.67,UNKNOWN,UNKNOWN,10.80,TeslaMedbedX,11/18/25,2025-11-18,279,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,PCT_INFERRED
67,The Money Wave,Downloads,42.15,$42.15,exact,percent,75.00,UNKNOWN,75.00%,25.38,UNKNOWN,17.00,12.69,Themoneywave,7/11/24,2024-07-11,774,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
68,77 Quick & Easy Keto Recipes free book,E-books,1.10,$1.10,exact,percent,100.00,UNKNOWN,100.00%,UNKNOWN,UNKNOWN,16.00,7.60,produktmanagerin,7/27/22,2022-07-27,1489,UNKNOWN,Promote now,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,weight-loss,1,NO_NET_EARNINGS
69,870 ChatGPT Prompts for Affiliate Marketing Success,E-books,1.81,$1.81,exact,percent,50.00,UNKNOWN,50.00%,2.04,UNKNOWN,16.00,7.63,HeikoBoos,6/20/25,2025-06-20,430,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,make-money-online,1,
70,Ultimate Dynamic Personal Budget in Google Sheets,Downloads,43.23,$43.23,exact,percent,90.00,UNKNOWN,90.00%,28.30,UNKNOWN,14.00,16.89,FinSavvyDesigns,3/30/25,2025-03-30,512,UNKNOWN,Promote now,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
71,AI Profit Sniper,Software,65.20,$65.20,exact,percent,75.00,UNKNOWN,75.00%,27.35,UNKNOWN,14.00,27.21,aiprofitsniper,5/1/25,2025-05-01,480,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ai-software,1,
72,81 % Commission on US Immigration Survival PRO Bundle,Downloads,50.81,$50.81,exact,percent,81.00,UNKNOWN,81.00%,32.87,UNKNOWN,13.00,4.76,IsMaria,7/22/25,2025-07-22,398,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,survival-preparedness,1,
73,Shifting Vibrations - Proven Digital Manifestation Offer,Downloads,62.00,$62.00,exact,percent,90.00,UNKNOWN,90.00%,39.69,UNKNOWN,13.00,24.19,astral43,10/10/24,2024-10-10,683,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,spirituality-manifest,1,
74,Peak BioBoost,Supplements - health,158.24,$158.24,exact,percent,50.00,UNKNOWN,50.00%,75.13,UNKNOWN,12.00,6.91,peakbiome,7/19/22,2022-07-19,1497,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
75,Dubai Wealth Secret - Brand-New Forbidden Wealth Angle Going,Downloads,50.86,$50.86,exact,percent,75.00,UNKNOWN,75.00%,43.93,UNKNOWN,12.00,12.66,destinyaff,1/20/26,2026-01-20,216,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,forex-crypto-trading,1,
76,CogniCare Pro - NEW Brain Power,Supplements - health,180.95,$180.95,exact,percent,64.00,UNKNOWN,64.00%,101.75,UNKNOWN,11.00,21.96,skyhighperformers,5/9/24,2024-05-09,837,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
77,Nerve Fresh,Supplements - health,189.47,$189.47,exact,percent,70.00,UNKNOWN,70.00%,114.92,UNKNOWN,10.00,14.07,premvitality,10/16/24,2024-10-16,677,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
78,ViriFlow,Supplements - health,256.25,$256.25,exact,percent,65.00,UNKNOWN,65.00%,164.18,UNKNOWN,10.00,14.43,ViriFlow,10/16/25,2025-10-16,312,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
79,Brand New Opportunity – Earn 60% Commission!,Supplements - health,241.32,$241.32,exact,percent,60.00,UNKNOWN,60.00%,78.06,UNKNOWN,8.00,10.06,soundview,8/1/25,2025-08-01,388,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
80,Help Others Overcome Their Acid Refluy | 45% Commission,Member area and video courses,113.48,$113.48,exact,percent,60.00,UNKNOWN,60.00%,49.43,UNKNOWN,7.00,5.19,Refluxsummit,2/1/25,2025-02-01,569,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,education-courses,1,
81,The 5-Minute Garden: Earn 75% Commissions on a Proven Ebook.,E-books,29.19,$29.19,exact,percent,75.00,UNKNOWN,75.00%,68.68,UNKNOWN,6.00,UNKNOWN,darrelltee,9/9/25,2025-09-09,349,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,gardening,1,PCT_INFERRED
